playerName,inflationAdjSalary
Sean Kilpatrick,1699
Terry Dehere,1685
Ryan Humphrey,1683
Nando De Colo,1679
Adreian Payne,1671
Zan Tabak,1671
Todd Fuller,1666
Malachi Richardson,1661
Craig Brackins,1660
Mitch McGary,1660
BJ Mullens,1646
Roshown McLeod,1643
Ronnie Price,1642
Terrence Jones,1636
Willy Hernangomez,1633
Alfonzo McKinnie,1632
Julius Hodge,1629
Mitchell Robinson,1628
Deyonta Davis,1625
Reggie Williams,1624
Aaron Gray,1622
Nolan Smith,1618
Keith Askins,1617
Ryan Hollins,1614
Greg Foster,1608
Arvydas Macijauskas,1604
Luke Babbitt,1602
Kendall Marshall,1598
Ronald Murray,1598
Dickey Simpkins,1597
Jordan Adams,1594
Eddie Johnson,1592
Nigel Williams-Goss,1591
Isaiah Roby,1591
Donte Greene,1584
Rodney Carney,1578
Toney Douglas,1575
Tim Frazier,1559
Chris Anstey,1557
Hamed Haddadi,1555
Sviatoslav Mykhailiuk,1553
Fred Hoiberg,1550
Frederic Weis,1548
Timothe Luwawu,1545
Semi Ojeleye,1545
Dalibor Bagaric,1544
Mateen Cleaves,1538
Raul Neto,1536
Michael Bradley,1525
Mardy Collins,1525
Victor Claver,1524
Perry Jones,1523
Travis Diener,1521
Joseph Forte,1518
Gary Grant,1517
James Young,1511
Fab Melo,1505
Luther Head,1503
Jeryl Sasser,1501
David Harrison,1499
Abdel Nader,1499
Jaylen Nowell,1485
Bruno Fernando,1485
Tyrone Corbin,1478
Sasha Kaun,1477
Alan Anderson,1476
Damyean Dotson,1474
Monty Williams,1473
DeJuan Blair,1471
Ricky Pierce,1457
Jordan Crawford,1457
Brice Johnson,1456
Wesley Iwundu,1455
Torrey Craig,1454
Jordan Mickey,1448
Dominique Jones,1443
Dion Glover,1440
Smush Parker,1438
Sonny Weems,1436
Herb Williams,1426
Mirsad Turkcan,1425
Josh Huestis,1424
Chris McCullough,1424
