playerName,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Pascal Siakam,26,5,10,0,2,2,2,1,4,5,2,0,0,1,2,13
Duncan Robinson,26,3,8,3,7,0,1,0,2,2,1,0,0,0,2,11
Andrew Bogut,26,4,7,0,0,1,1,2,6,8,2,0,1,1,3,9
Devonte' Graham,26,4,10,2,6,2,2,0,2,2,5,0,0,1,1,12
Hedo Türkoğlu,26,3,9,1,3,2,2,0,3,3,2,0,0,1,2,10
Rodney Stuckey,26,4,10,0,1,3,3,0,2,2,3,0,0,1,2,12
Courtney Lee,26,3,8,1,2,1,1,0,2,2,1,0,0,0,1,9
Jordan Clarkson,26,5,12,1,4,1,2,0,2,3,2,0,0,1,1,14
Rodney Hood,26,4,10,1,4,1,2,0,2,2,1,0,0,1,2,11
Chris Kaman,26,4,9,0,0,1,2,2,5,7,1,0,1,2,2,11
Zydrunas Ilgauskas,26,4,10,0,0,2,3,2,4,7,1,0,1,1,3,12
Antonio McDyess,26,4,9,0,0,1,2,2,5,7,1,0,1,1,3,11
Quentin Richardson,26,3,9,1,4,1,1,1,3,4,1,0,0,1,1,10
Marcus Morris,26,4,10,1,4,1,2,0,3,4,1,0,0,1,2,12
Christian Laettner,26,3,8,0,0,2,2,1,4,5,2,0,0,1,2,10
Arron Afflalo,26,3,8,1,2,1,2,0,2,2,1,0,0,1,1,10
Jermaine O'Neal,26,5,10,0,0,2,4,1,5,7,1,0,1,1,2,13
Rick Fox,26,3,7,1,2,1,1,0,2,3,2,1,0,1,3,9
Otto Porter Jr.,26,4,8,1,3,1,1,1,3,5,1,1,0,0,1,10
Derek Harper,26,3,7,0,2,0,1,0,1,1,3,1,0,1,1,8
James Posey,26,2,6,1,3,1,1,0,3,4,1,1,0,1,2,8
Greg Monroe,26,5,10,0,0,2,3,2,5,8,2,1,0,1,2,12
Malik Sealy,26,3,9,0,1,2,2,0,2,3,1,1,0,1,2,10
Cam Reddish,26,3,9,1,4,1,2,0,3,3,1,1,0,1,2,10
Morris Peterson,26,3,9,1,3,1,1,0,2,3,1,0,0,0,2,10
