,playerName,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos
448,Devin Harris,23,3,8,0,2,2,3,0,1,2,3,0,0,1,2,10,G
449,Kelly Oubre Jr.,23,3,8,1,3,1,2,0,3,4,0,0,0,1,2,10,F
450,Kenneth Faried,23,4,8,0,0,2,3,3,5,8,0,0,0,1,2,11,F-C
451,Joe Harris,23,3,7,1,4,0,1,0,2,3,1,0,0,1,2,10,G
452,Elden Campbell,23,3,8,0,0,2,3,1,4,5,1,0,1,1,2,10,C
453,Emmanuel Mudiay,23,4,10,0,2,1,2,0,2,2,3,0,0,2,1,10,G
454,Kevin Knox,23,3,9,1,4,1,2,0,3,3,1,0,0,1,2,9,F
455,Luke Kennard,23,3,8,1,3,1,1,0,2,2,2,0,0,1,1,9,G
456,Jemerrio Jones,23,2,5,0,1,0,0,2,5,8,2,1,0,0,1,4,F
457,Luguentz Dort,23,2,7,1,3,1,1,0,1,2,0,0,0,0,2,7,G
458,Eric Williams,23,2,6,0,1,2,3,1,2,3,1,0,0,1,2,8,F
459,Erick Dampier,23,2,5,0,0,1,2,2,4,7,0,0,1,1,2,7,C
460,Lorenzen Wright,23,3,7,0,0,1,2,2,4,6,0,0,0,1,2,7,F-C
461,A.C. Green,23,2,5,0,0,1,1,2,3,6,0,0,0,0,1,5,F-C
462,Nikola Mirotić,23,3,9,1,5,2,2,0,4,5,1,0,0,1,2,11,F
463,Will Barton,23,4,9,1,3,1,2,0,3,4,2,0,0,1,1,10,G
464,Xavier Rathan-Mayes,23,2,8,0,2,0,1,0,1,1,3,1,0,2,3,5,G
465,Cedi Osman,23,3,7,1,3,1,1,0,2,3,1,0,0,1,2,9,F
466,Allen Crabbe,23,3,7,1,4,1,1,0,2,2,1,0,0,0,2,9,G-F
467,Walt Williams,23,3,8,1,3,1,1,0,2,3,1,0,0,1,2,9,F-G
468,Steve Blake,23,2,5,1,3,0,0,0,1,2,3,0,0,1,1,6,G
469,Andrés Nocioni,23,3,8,1,3,1,2,0,3,4,1,0,0,1,2,10,F
470,D.J. Augustin,23,3,7,1,3,2,2,0,1,1,3,0,0,1,1,9,G
471,Cedric Henderson,23,3,6,0,0,1,1,0,2,2,1,0,0,1,2,7,F
472,Cedric Henderson,23,3,6,0,0,1,1,0,2,2,1,0,0,1,2,7,F
