playerName,seasonStartYear,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,inflationAdjSalary
Gary Payton,2001,39.7,9.0,19.4,0.9,2.9,3.3,4.2,1.0,4.0,5.0,8.8,1.5,0.3,2.6,2.2,22.1,19730.766
Stephon Marbury,2004,39.7,7.4,16.0,1.4,4.0,5.6,6.7,0.6,2.4,3.0,8.1,1.5,0.1,2.8,2.3,21.7,20946.515
Kevin Garnett,2003,39.7,9.7,19.8,0.2,0.6,4.6,5.9,2.8,11.2,14.0,5.0,1.4,2.2,2.9,2.6,24.2,41412.563
Gary Payton,1998,39.7,8.0,18.5,1.7,5.6,4.0,5.5,1.2,3.6,4.9,8.7,2.2,0.2,3.1,2.3,21.7,14526.568
Tracy McGrady,2003,39.6,9.7,23.4,2.6,7.7,5.9,7.5,1.4,4.6,6.0,5.5,1.4,0.6,2.7,1.9,28.0,19641.017
Tim Duncan,2002,39.6,8.9,17.2,0.1,0.3,5.8,8.2,3.4,10.1,13.4,4.2,0.7,3.0,3.1,2.9,23.6,18232.629
Jerry Stackhouse,2000,39.6,9.7,24.1,2.1,5.9,8.3,10.1,1.2,2.7,3.9,5.1,1.2,0.7,4.1,2.0,29.8,8368.362
Allen Iverson,1996,39.5,8.2,19.8,2.0,6.0,5.0,7.2,1.5,2.6,4.1,7.5,2.1,0.3,4.4,3.1,23.5,3930.662
Ben Wallace,2002,39.5,2.9,6.1,0.0,0.1,1.4,3.2,4.2,11.4,15.6,1.6,1.6,3.1,1.1,2.5,7.3,7853.358
Antoine Walker,1997,39.5,8.8,20.8,1.1,3.6,3.7,5.8,3.3,6.9,10.2,3.3,1.7,0.7,3.6,3.2,22.4,3159.47
Shareef Abdur-Rahim,2000,39.5,7.5,15.8,0.1,0.8,5.5,6.6,2.2,6.9,9.1,3.1,1.1,1.0,2.9,2.9,20.5,15964.503
Gary Payton,1996,39.5,8.6,18.5,1.5,4.8,3.2,4.4,1.3,3.4,4.7,7.3,2.4,0.2,2.7,2.5,22.0,17706.187
Juwan Howard,1997,39.5,7.2,15.5,0.0,0.0,4.0,5.6,2.5,4.5,7.0,3.2,1.3,0.4,2.9,3.5,18.5,19067.872
Caron Butler,2007,39.5,7.5,16.1,1.1,3.2,4.1,4.6,1.6,5.0,6.6,4.8,2.2,0.3,2.6,2.8,20.2,10717.759
Jason Kidd,2000,39.5,5.8,14.4,0.9,3.1,4.2,5.1,1.2,5.2,6.4,10.0,2.1,0.3,3.7,2.3,16.7,12103.394
Shaquille O'Neal,2000,39.5,11.2,19.6,0.0,0.0,6.7,13.0,4.2,8.9,13.2,3.6,0.6,2.7,3.1,3.5,29.0,30393.57
Jamal Crawford,2007,39.4,7.1,17.4,2.2,6.2,4.1,4.8,0.5,2.1,2.6,5.0,1.0,0.2,2.4,1.8,20.6,10327.869
Baron Davis,2003,39.4,8.1,20.5,2.7,8.5,3.5,5.2,1.0,3.3,4.3,7.4,2.3,0.4,3.2,2.7,22.4,16210.06
Rudy Gay,2010,39.4,7.6,16.1,1.1,2.7,3.6,4.5,1.5,4.7,6.2,2.8,1.7,1.1,2.5,2.4,19.8,16957.238
Juwan Howard,1998,39.4,7.9,16.8,0.0,0.1,3.1,4.1,2.5,5.6,8.1,3.0,1.2,0.4,2.6,3.6,18.9,21877.361
Steve Francis,2000,39.4,6.9,15.2,1.7,4.2,4.5,5.5,2.4,4.5,6.9,6.5,1.8,0.4,3.3,3.4,19.9,5117.088
LeBron James,2010,39.4,9.3,18.6,1.2,3.6,6.2,8.2,1.1,6.5,7.7,6.8,1.6,0.8,3.5,2.2,26.1,18074.424
LaMarcus Aldridge,2010,39.4,8.7,17.6,0.0,0.3,4.3,5.4,3.4,5.3,8.7,2.0,1.0,1.2,1.9,2.7,21.8,14015.781
Vince Carter,2001,39.3,9.3,21.8,2.0,5.2,4.1,5.1,2.3,2.9,5.2,4.0,1.6,0.7,2.6,3.2,24.7,4690.62
Paul Pierce,2002,39.3,8.3,20.1,1.5,4.9,7.9,9.8,1.3,6.2,7.5,4.7,1.8,0.8,3.7,3.0,26.1,15204.932
Richard Hamilton,2004,39.3,7.0,15.8,0.5,1.5,4.6,5.4,1.0,3.0,4.0,4.7,1.0,0.2,2.9,3.1,19.1,11189.377
Ricky Davis,2002,39.3,7.6,18.6,0.9,2.6,4.4,5.9,1.2,3.7,4.9,5.5,1.6,0.5,3.5,2.3,20.6,6865.647
Rod Strickland,1997,39.3,6.4,14.9,0.2,0.6,4.7,6.5,1.5,3.9,5.3,10.5,1.7,0.3,3.5,2.4,17.8,5847.48
